ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Base Category (if secondary)-B,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Formative/component occurs in what component(s)-B,Formative/component occurs in what component(s)-C,Formative/component occurs in what component(s)-D,Contains component (enter)-A,Contains component (enter)-B,Contains component (enter)-C,Contains formative (enter)-A,Contains formative (enter)-B,Deverbal (y/n),Deverbal from,Public Comments,Private Comments,Speaker,1st check done,2nd check done
202,Bloomfield,LB1958,0078,ojg,,east2542,-a·kkokane·,OJ:1,,,,,,bone,,final,AI ,,,,,,,,,,,,,,,,,,,,,,,,-e·,,,,,,,medial with AI final -e·,,"Andrew Medler, Walpole Island",GVM
724,Bloomfield,LB1958,0114,ojg,,east2542,-a·kkome·,OJ:1,,,,,,louse (?),,medial ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,question mark is Bloomfield's -GVM,,"Andrew Medler, Walpole Island",GVM
137,Bloomfield,LB1958,0073,ojg,,east2542,-a·kkw,OJ:1,,,,,,"wood, solid",,final ,N,,,B,,,,,,,,,,,,,,,,,,,,,-∅,,,,,,,"""medial with noun final zero""",,"Andrew Medler, Walpole Island",GVM
243,Bloomfield,LB1958,"0080,0110,0114",ojg,,east2542,-a·kkw,OJ:1,,,,,,"wood, solid",,medial ,,,,,,,,,,,,,,,,,,,,,-akkwe·,-akkwe·,,,,,,,,,,,,"Andrew Medler, Walpole Island",GVM
776,Bloomfield,LB1958,"0116,0126",ojg,,east2542,-a·kkw,OJ:1,,,,,,NG,,premedial ,,,,,,,,,,,,,,,,,,,,,-a·kkokan,,,,,,,,,,,"""medial as premedial""",,"Andrew Medler, Walpole Island",GVM
244,Bloomfield,LB1958,0080,ojg,,east2542,-a·kkwe·,OJ:1,,,,,,"wood, solid","solid, wood",final,AI,,,,,,,,,,,,,,,,,,,,,,,,-a·kkw,-e·,,,,,,,,"Andrew Medler, Walpole Island",GVM
338,Bloomfield,LB1958,0085,ojg,,east2542,-a·kkwi· ,OJ:1,,,,,,shoot,,final,AI ,,,,,,,,,,,,,,,,,,,,,,,,,,,-a·kkwi· ,,,,,,"Andrew Medler, Walpole Island",GVM
705,Bloomfield,LB1958,"0113,0114,0126",ojg,,east2542,-a·kky,OJ:1,,,,,,land,land,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,akky-,,,"Andrew Medler, Walpole Island",GVM
725,Bloomfield,LB1958,0114,ojg,,east2542,-a·kom(?),OJ:1,,,,,,NG,,medial ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,question mark is Bloomfield's -GVM,,"Andrew Medler, Walpole Island",GVM
726,Bloomfield,LB1958,"0114,0121,0126",ojg,,east2542,-a·konak,OJ:1,,,,,,snow,,medial ,,,,,,,,,,,,,,,,,,,,,,,,,,,,-ak,,Y,eko·n,,,"Andrew Medler, Walpole Island",GVM
289,Bloomfield,LB1958,"0083,0094,0126",ojg,,east2542,-a·kosi,OJ:1,,,,,,subject to action,,final,AI ,,,Y,TI,,,-a·kwat,,,,,,,,,,,,,,,,,-ikosi,,,-a·,,,,,,"Andrew Medler, Walpole Island",GVM
124,Bloomfield,LB1958,0072,ojg,,east2542,-a·kw,OJ:1,,,,,,NG,,final ,N,,ABSTR,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Andrew Medler, Walpole Island",GVM
290,Bloomfield,LB1958,"0083,0094,0126",ojg,,east2542,-a·kwat,OJ:1,,,,,,subject to action,action,final,II,,,Y,TI,,-a·kosi,,,,,,,,,,,,,,,,,,-ikwat,,,-a·,,,,,,"Andrew Medler, Walpole Island",GVM
303,Bloomfield,LB1958,"0083,0085,0094",ojg,,east2542,-a·m,OJ:1,,,,,,NG,,prefinal ,,,,,,,,,,,,,,,,,,,,,-a·mikosi,-a·mikwat,,,,,,,,,,,,"Andrew Medler, Walpole Island",GVM
953,Bloomfield,LB1958,0126,ojg,,east2542,-a·m,OJ:1,,,,,,NG,,premedial,,,,,,,,,,,,,,,,,,,,,-a·mikosi,-a·mikwat,,,,,,,,,,,,"Andrew Medler, Walpole Island",GVM
301,Bloomfield,LB1958,"0083,0094,0126",ojg,,east2542,-a·mikosi,OJ:1,,,,,,subject to act,"act (N), action",final,AI,,,Y,TI,,,-a·mikwat,,,,,,,,,,,,,,,,,-ikosi,,,-a·m,,,,,,"Andrew Medler, Walpole Island",GVM
302,Bloomfield,LB1958,"0083,0094,0126",ojg,,east2542,-a·mikwat,OJ:1,,,,,,subject to act,"act (N), action",final,II,,,,,,-a·mikosi,,,,,,,,,,,,,,,,,,-ikwat,,,-a·m,,,,,,"Andrew Medler, Walpole Island",GVM
