Component ID,Author Surname,Source Code,Page # ,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Base Category (if secondary)-B,Base Category (if secondary)-C,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Allomorph-B,Condition-B,Allomorph-C,Condition-C,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Component occurs in stem (orig. orth)-C,Component occurs in stem (proj. orth)-C,Stem UR-C,Stem category-C,Stem subcategory-C,Stem translation-C,Secondary stem-C,Stem Source-C,Component occurs in stem (orig. orth)-D,Component occurs in stem (proj. orth)-D,Stem UR-D,Stem category-D,Stem subcategory-D,Stem translation-D,Secondary stem-D,Stem Source-D,Formative/component occurs in what component(s)-A,Formative/component occurs in what component(s)-B,Contains component (enter)-A,Contains component (enter)-B,Contains formative (enter)-A,Contains formative (enter)-B,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
1012,Arppe et al.,AA_ET_AL2019,0010,crk,,plai1258,,C-P:1,,wêp-,,,,throw,,medial,,,,,,,,,,,,,,,,,,nîhciwêpin-,,,V,TA,"s/he throws s.o down, off",,AA_ET_AL2019;0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
364,Bakker,PB2006,0009,crk,,plai1258,isw- ,C-P:1,,,,,,cut,,final,TA,,,,,,,,,,,,,,,,,kîsk-isw-,,,V,TA,cut off,,PB2006;0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMF,MAM
584,Bakker,PB2006,0009,crk,,plai1258,ah- ,C-P:1,,,,,,instrument,,final,,,,,,,,,,,,,,,,,,kask-âpisk-ah-,,,V,AI,"close with metal, lock with key",,PB2006;0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMF,MAM
613,Bakker,PB2006,0009,crk,,plai1258,âpisk-  ,C-P:1,,,,,,metal,,medial,CLASS,,,,,,,,,,,,,,,,,kask-âpisk-ah-,,,V,AI,"close with metal, lock with key",,PB2006;0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMF,MAM
650,Bakker,PB2006,0009,crk,,plai1258,ê-,C-P:1,,,,,,INC,,postmedial,,,,,,,,,,,,,,,,,,kîsk-ikw-ê-sw-,,,V,TA,cut off head,,PB2006;0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"author treats this as ""incorporation marker"".",,RMF,MAM
663,Bakker,PB2006,0009,crk,,plai1258,i-,C-P:1,,,,,,NG,,final,AI,,,,,,,,,,,,,,,,,nip-i-,,,V,AI,die,,PB2006;0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMF,MAM
665,Bakker,PB2006,0009,crk,,plai1258,ikât- ,C-P:1,,,,,,leg,,medial,INCORP,,,,,,,,,,,,,,,,,kîsk-ikât-,,,V,TA,be cut off at the leg,,PB2006;0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medial glossed as 'leg.INC'; no final given in word; Plains Cree dictionary lists as TA,,RMF,MAM
667,Bakker,PB2006,0009,crk,,plai1258,ikw- ,C-P:1,,,,,,neck,,medial,INCORP,,,,,,,,,,,,,,,,,kîsk-ikw-ê-sw-,,,V,TA,cut off head,,PB2006;0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medial glossed as 'neck.INC.N',,RMF,MAM
693,Bakker,PB2006,0009,crk,,plai1258,kask-,C-P:1,,,,,,closed,,initial,,,,,,,,,,,,,,,,,,kask-âpisk-ah-,,,V,AI,"close with metal, lock with key",,PB2006;0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMF,MAM
729,Bakker,PB2006,0009,crk,,plai1258,kîsk-,C-P:1,,,,,,severed,,initial,,,,,,,,,,,,,,,,,,kîsk-isw-,,,V,TA,cut off,,PB2006;0009,kîsk-ikât-,,,V,TA,be cut off at the leg,,PB2006;0009,kîsk-ikw-ê-sw-,,,V,TA,cut off head,,PB2006;0009,,,,,,,,,,,,,,,,,medial glossed as 'leg.INC'; no final given in word; Plains Cree dictionary lists as TA,,RMF,MAM
