ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
102,Costa,DJC2019,0006,mia,,miam1252,-ahšihtoo,MY:Standard,,,,,,"load, carry",,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Costa,DJC2019,0001,mia,,miam1252,-ahsimw,MY:Standard,,,,,,animal,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Costa,DJC2019,0007,mia,,miam1252,-ahtee,MY:Standard,,,,,,shoot,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Costa,DJC2019,0008,mia,,miam1252,-ahtee,MY:Standard,,,,,,spots,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Costa,DJC2019,0007,mia,,miam1252,-ahtoo,MY:Standard,,,,,,"put, place",,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Costa,DJC2019,0009,mia,,miam1252,-ahw,MY:Standard,,,,,,tie,,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Costa,DJC2019,0004,mia,,miam1252,-ahwi,MY:Standard,,,,,,fly,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Costa,DJC2019,0005,mia,,miam1252,-ahwi,MY:Standard,,,,,,"instrument, by",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Costa,DJC2019,0002,mia,,miam1252,-akwi,MY:Standard,,,,,,clothing2,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,"yes defined as ""clothing2""",,,
111,Costa,DJC2019,0008,mia,,miam1252,-alanii-,MY:Standard,,,,,,tail (bird's),,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Costa,DJC2019,0007,mia,,miam1252,-alel(e) ,MY:Standard,,,,,,"rot, ferment",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Costa,DJC2019,0007,mia,,miam1252,-alet ,MY:Standard,,,,,,"rot, ferment",,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Costa,DJC2019,0001,mia,,miam1252,-alw,MY:Standard,,,,,,"arrow, bullet",,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Costa,DJC2019,0006,mia,,miam1252,-am,MY:Standard,,,,,,"mouth, by",,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Costa,DJC2019,0004,mia,,miam1252,-ameekw,MY:Standard,,,,,,fish,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Costa,DJC2019,0004,mia,,miam1252,-ameekwi,MY:Standard,,,,,,fish,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Costa,DJC2019,0001,mia,,miam1252,-ankwan,MY:Standard,,,,,,ankle,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Costa,DJC2019,0002,mia,,miam1252,-anowee- ,MY:Standard,,,,,,cheek,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,has two dashes but listed as an AI final,,,
120,Costa,DJC2019,0008,mia,,miam1252,-ansooy,MY:Standard,,,,,,tail (animal's),,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Costa,DJC2019,0006,mia,,miam1252,-antam,MY:Standard,,,,,,"mouth, by",,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Costa,DJC2019,0001,mia,,miam1252,-antee,MY:Standard,,,,,,"absent, gone",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Costa,DJC2019,0008,mia,,miam1252,-api,MY:Standard,,,,,,"sit, be at",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Costa,DJC2019,0003,mia,,miam1252,-ate-,MY:Standard,,,,,,"cold, by",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Costa,DJC2019,0003,mia,,miam1252,-aten,MY:Standard,,,,,,"cold, by",,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Costa,DJC2019,0005,mia,,miam1252,-aten,MY:Standard,,,,,,hill,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Costa,DJC2019,0004,mia,,miam1252,-awee,MY:Standard,,,,,,fur,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Costa,DJC2019,0007,mia,,miam1252,-aweem,MY:Standard,,,,,,related to,,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Costa,DJC2019,0007,mia,,miam1252,-aweentam,MY:Standard,,,,,,related to,,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Costa,DJC2019,0008,mia,,miam1252,-ay,MY:Standard,,,,,,"skin, hide",,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
