Component ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
45,Junker,MOJ2003b,0183,crj,,sout2978,Paasikw-,C-SE:2,,,,,,going over board,,initial,,,,,,,,,,,,,,,,,,,,,,,,,GVM: Capitalization and spacing in translation are consistent; unclear whether it's actually an initial; used here to mean excited
52,Junker,MOJ2003b,0184,crj,,sout2978,Piuutam-,C-SE:2,,,,,,clear,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, unclear whether it's an actual initial; used here to mean peaceful, clear, calm but glossed as clear"
42,Junker,MOJ2003b,0184,crj,,sout2978,Chiyaam-,C-SE:2,,,,,,calm,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, unclear whether it's an actual initial"
46,Junker,MOJ2003b,0184,crj,,sout2978,mitun-,C-SE:2,,,,,,"whole, complete",,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, unclear whether it's an actual initial"
55,Junker,MOJ2003b,0184,crj,,sout2978,Maamitun-,C-SE:2,,,,,,whole,,initial,,Y,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, unclear whether it's an actual initial"
1,Junker,MOJ2003b,0185,crj,,sout2978,Miyu-,C-SE:2,,,,,,good,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Probably an allomorph of Miy- but no conditions given; capitalization is consistent, unclear whether it's an actual initial"
16,Junker,MOJ2003b,0185,crj,,sout2978,Maachi-,C-SE:2,,,,,,bad,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Probably an allomorph of mach- but no conditions given; capitalization is consistent, unclear whether it's an actual initial"
47,Junker,MOJ2003b,0185,crj,,sout2978,-hchikan,C-SE:2,,,,,,NG,,final,N
48,Junker,MOJ2003b,0187,crj,,sout2978,Naapeu-,C-SE:2,,,,,,man(male),,initial
31,Junker,MOJ2003b,0187,crj,,sout2978,-aakun,C-SE:2,,,,,,be like,,final,II
6,Armoskaite & Junker,SA_MOJ2017,"0002,0003",crj,,sout2978,-win,C-E:1,,,,,,process/result,,final,N,,,Y,AI,,,,,,,,,,,,,,,,,,,,"They call it ""abstract"" but do assign it a meaning.",,MAM
33,Armoskaite & Junker,SA_MOJ2017,0003,crj,,sout2978,-kan,C-E:1,,,,,,instrument,,final,N,,,Y,AI/TI,,,,,-kin,,,,,,,,,,,,,,,,,MAM
35,Armoskaite & Junker,SA_MOJ2017,0003,crj,,sout2978,-suu,C-E:1,,,,,,actor,,final,N,,,Y,AI,,,,,-siu,,,,,,,,,,,,,,,"Attaches to ""independent AI stem""",,MAM
25,Armoskaite & Junker,SA_MOJ2017,0010,crl,,nort1552,-sh,C-E:1,,,,,,diminutive,,final,N,,,Y,N,,,,,,,,,,,,,,,,,,,,"Can attach to N or V, does not change category. (Entered separately.)",,MAM
5,Armoskaite & Junker,SA_MOJ2017,0010,crl,,nort1552,-sh,C-E:1,,,,,,diminutive,,final,V,,,Y,V,,,,,,,,,,,,,,,,,,,,"Can attach to N or V, does not change category. (Entered separately.)",,MAM
34,Armoskaite & Junker,SA_MOJ2017,0010,crj,,sout2978,-u,C-E:1,,,,,,NG,,final,AI,,ABSTR,Y,N,,,,,,,,,,,,,,,,,,,,,,MAM
