Project Orthography,AB:1,AB:2,AR:1,AR:2,BF:1,BF:2,C-A:1,C-A:2,C-E:1,C-I:1,C-I:2,C-I:3,C-I:Standard,C-I:Revised,C-M:1,C-N:1,C-N:2,C-NE:1,C-NE:2,C-P:1,C-P:2,C-P:3,C-P:4,C-P:5,C-P:6,C-SE:1,C-SE:2,CH:1,D-M:1,D-M:2,D-U:1,KP:1,KP:2,ME:1,ME:2,ME:3,ME:4,MK:F-S,MK:1,MN:1,MN:2,MN:3,MN:4,MN:5,MN:6,MN:WNALP,MY:Standard,MY:1,NR:1,OJ:1,OJ:2,OJ:3,OJ:4,OJ:5,OJ:6,OJ:7,OJ:8,OJ:9,OJ:10,OJ:11,P-M:1,P-M:2,P-M:3,PA:1,PA:2,PA:3,PA:4,PA:5,PA:6,PA:7,PCA:1,PCA:2,PEA:1,POT:WNALP,POT:1,POT:2,POT:3,POT:4,POT:5,SH:1,SH:2,WM:1,UNK [unknown]
I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ǐ,,,,,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,˜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,
L,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,N,,,,,,N,,,,N,,N,,,,,,,,N,,,,,,,,,N,,,,,,,,N,N,N,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w̄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,
Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
S,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,S·,S·,S·,,,,
T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,
TT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T·,T·,T·,,,,
Θ,,,,,,,θ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,
W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,’,,,,,,,,,,,,,,,,,,,,,
X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
·,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
