ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
190,Costa,DJC2019,0005,mia,,miam1252,-ihkii,MY:Standard,,,,,,"head, hair","hair, head",final,AI
191,Costa,DJC2019,0005,mia,,miam1252,-ihkii-,MY:Standard,,,,,,"head, hair",,medial
192,Costa,DJC2019,0009,mia,,miam1252,-ihkinaahkw,MY:Standard,,,,,,turtle,,final,N
193,Costa,DJC2019,0002,mia,,miam1252,-ihkolayi,MY:Standard,,,,,,"clothing, robe","clothing, robe",final,AI
194,Costa,DJC2019,0002,mia,,miam1252,-ihkolayi-,MY:Standard,,,,,,"clothing, robe",,medial
195,Costa,DJC2019,0003,mia,,miam1252,-ihkolee,MY:Standard,,,,,,"clothing, robe","clothing, robe",final,AI
196,Costa,DJC2019,0005,mia,,miam1252,-ihkomaan,MY:Standard,,,,,,knife,knife,final,N
197,Costa,DJC2019,0006,mia,,miam1252,-ihkomee,MY:Standard,,,,,,louse,louse,final,AI
198,Costa,DJC2019,0006,mia,,miam1252,-ihkomee,MY:Standard,,,,,,louse,,medial
199,Costa,DJC2019,0006,mia,,miam1252,-ihkw,MY:Standard,,,,,,louse,louse,final,N
200,Costa,DJC2019,0002,mia,,miam1252,-ihlolay,MY:Standard,,,,,,"clothing, robe","clothing, robe",final,N
