ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Public Comments,Private Comments,Speaker,1st check done,2nd check done
23,Day,GMD1995,XXIV,abe,,west2630,agogen-,AB:3,,,,,,loosen,loosen,initial,,,,,,,,,,,,,,,,,,,,,,,,,cf. ôben- 
24,Day,GMD1995,XXIV,abe,,west2630,agôm-,AB:3,,,,,,"across, on the other side","across, side (other)",initial
25,Day,GMD1995,XXIV,abe,,west2630,agwan-,AB:3,,,,,,"out of sight, hidden because covered","covered, hidden, out (of sight)",initial
26,Day,GMD1995,XXIV,abe,,west2630,agweda-,AB:3,,,,,,upstream,upstream,initial
27,Day,GMD1995,XXIV,abe,,west2630,agwô-,AB:3,,,,,,"deteriorating, spoiling (as by rusting, decaying, etc.)","decay, deteriorate, rust, spoil",initial
28,Day,GMD1995,XXIV,abe,,west2630,ahamo,AB:3,,,,,,fowl (wild or domestic),fowl,initial
29,Day,GMD1995,XXIV,abe,,west2630,ahaza-,AB:3,,,,,,transparent,transparent,initial
31,Day,GMD1995,XXIV,abe,,west2630,ahim,AB:3,,,,,,cloth,cloth,initial,,,,,,,,,,,,,,,,,,,,,,,,,see ayhim
112,Day,GMD1995,XXVII,abe,,west2630,ayhim-,AB:3,,,,,,own,own,initial,,,,,,,,,,ahim-
32,Day,GMD1995,XXIV,abe,,west2630,ahlab,AB:3,,,,,,a net,net (N),initial,,,,,,,,,,hlab
33,Day,GMD1995,XXIV,abe,,west2630,aidawi-,AB:3,,,,,,on both sides,side (both),initial
34,Day,GMD1995,XXIV,abe,,west2630,aiyami- ,AB:3,,,,,,pray ,pray ,initial
35,Day,GMD1995,XXIV,abe,,west2630,ajali-,AB:3,,,,,,impossible,impossible,initial
36,Day,GMD1995,XXIV,abe,,west2630,ajidaw- ,AB:3,,,,,,"face downward, head lower than body",face down,initial
37,Day,GMD1995,XXIV,abe,,west2630,akemô,AB:3,,,,,,a louse,louse,initial
38,Day,GMD1995,XXIV,abe,,west2630,akho-,AB:3,,,,,,hang,hang,initial
39,Day,GMD1995,XXIV,abe,,west2630,aki,AB:3,,,,,,land,land,initial,,,,,,,,,,ki
40,Day,GMD1995,XXIV,abe,,west2630,akig-,AB:3,,,,,,a seal,seal (N),initial
41,Day,GMD1995,XXIV,abe,,west2630,akika,AB:3,,,,,,"sow, plant","plant (V), sow",initial,,,,,,,,,,kika
42,Day,GMD1995,XXIV,abe,,west2630,akikôn,AB:3,,,,,,field,field,initial,,,,,,,,,,kikôn
43,Day,GMD1995,XXIV,abe,,west2630,akokw,AB:3,,,,,,kettle,kettle,initial,,,,,,,,,,kokw
44,Day,GMD1995,XXIV,abe,,west2630,akw-,AB:3,,,,,,"stop, cease","cease, stop",initial
45,Day,GMD1995,XXIV,abe,,west2630,akw- ,AB:3,,,,,,"rough, bitter","bitter, rough",initial
46,Day,GMD1995,XXV,abe,,west2630,akwôb-,AB:3,,,,,,"thus, so much, in such a time, amount, manner; according to, accordingly as","according to, amount, manner, much, thus, time, RELATIVE, QUANTITY",initial
47,Day,GMD1995,XXV,abe,,west2630,al-,AB:3,,,,,,"how, as, like, the way that, etc. ","as, how, like, way",initial
48,Day,GMD1995,XXV,abe,,west2630,alakws,AB:3,,,,,,star,star,initial
49,Day,GMD1995,XXV,abe,,west2630,alaskana,AB:3,,,,,,wolverine,wolverine,initial
50,Day,GMD1995,XXV,abe,,west2630,ale-,AB:3,,,,,,"stagnant, still, dead","dead, stagnant, still (A)",initial
51,Day,GMD1995,XXV,abe,,west2630,alem-,AB:3,,,,,,"continuing, going farther","continue, farther",initial
1,Goddard,IG1979a,0112,abe,,west2630,alən-,AB:1,,,,*elen-,,ordinary,ordinary,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
52,Day,GMD1995,XXV,abe,,west2630,alhla,AB:3,,,,,,female of deer family,doe,initial
53,Day,GMD1995,XXV,abe,,west2630,alkô,AB:3,,,,,,decay,decay,initial
54,Day,GMD1995,XXV,abe,,west2630,aln-,AB:3,,,,,,"common, usual, ordinary (also native as opposed to European or White)","common, native, ordinary, usual",initial
55,Day,GMD1995,XXV,abe,,west2630,alnaka- ,AB:3,,,,,,on the right side or direction (opposite of left),right (side),initial
56,Day,GMD1995,XXV,abe,,west2630,aloka,AB:3,,,,,,work,work,initial
58,Day,GMD1995,XXV,abe,,west2630,alôm-,AB:3,,,,,,"inside, under (with reference to water)","inside, under (water)",initial
57,Day,GMD1995,XXV,abe,,west2630,alosa,AB:3,,,,,,go (especially on foot),go,initial
59,Day,GMD1995,XXV,abe,,west2630,als,AB:3,,,,,,shellfish,shellfish,initial
60,Day,GMD1995,XXV,abe,,west2630,alzi,AB:3,,,,,,water weed,weed,initial
61,Day,GMD1995,XXV,abe,,west2630,amalki,AB:3,,,,,,"step, step on, tread","step, step on, tread",initial
62,Day,GMD1995,XXV,abe,,west2630,amals-,AB:3,,,,,,"be in a certain state of health, be feeling physically","feel (physically), state (health)",initial
63,Day,GMD1995,XXV,abe,,west2630,amisk-,AB:3,,,,,,beaver,beaver,initial
64,Day,GMD1995,XXV,abe,,west2630,amiz,AB:3,,,,,,pet (commonly one's dog),"dog, pet (N)",initial
65,Day,GMD1995,XXV,abe,,west2630,amkwôn,AB:3,,,,,,spoon,spoon,initial
69,Day,GMD1995,XXV,abe,,west2630,an-,AB:3,,,,,,forget,forget,initial,,,,,,,,,,,,,,,,,,,,,,,,,from wan
66,Day,GMD1995,XXV,abe,,west2630,anabi,AB:3,,,,,,coat,coat,initial
67,Day,GMD1995,XXV,abe,,west2630,anak-,AB:3,,,,,,"spread on ground, cover ground","cover (ground), spread",initial
68,Day,GMD1995,XXV,abe,,west2630,anawi-,AB:3,,,,,,"correct, repaired, in original condition","correct, repaired",initial
70,Day,GMD1995,XXVI,abe,,west2630,anibi-,AB:3,,,,,,American elm,elm,initial
71,Day,GMD1995,XXVI,abe,,west2630,anig-,AB:3,,,,,,"grow up, become covered with plant growth",grow up,initial
73,Day,GMD1995,XXVI,abe,,west2630,aodi-,AB:3,,,,,,"fight as in a battle, make war","battle, fight (V), war",initial,,,,,,,,,,awdi
74,Day,GMD1995,XXVI,abe,,west2630,aos-,AB:3,,,,,,changing position,change (position),initial,,,,,,,,,,,,,,,,,,,,,,,,,see awes- and aws-
76,Day,GMD1995,XXVI,abe,,west2630,apen,AB:3,,,,,,ground nut,ground nut,initial,,,,,,,,,,pen
77,Day,GMD1995,XXVI,abe,,west2630,apetaw-,AB:3,,,,,,"up in the air, off the ground","up (in the air), off (the ground)",initial
78,Day,GMD1995,XXVI,abe,,west2630,apihan,AB:3,,,,,,"cord, rope","cord, rope",initial,,,,,,,,,,"pian, pihan"
79,Day,GMD1995,XXVI,abe,,west2630,apikôn,AB:3,,,,,,"string, cord","cord, string",initial,,,,,,,,,,pikôn
80,Day,GMD1995,XXVI,abe,,west2630,apkw-,AB:3,,,,,,cover,cover,initial
81,Day,GMD1995,XXVI,abe,,west2630,apt-,AB:3,,,,,,"against, opposed, facing","against, facing, opposed",initial,,,,,,,,,,apc-
82,Day,GMD1995,XXVI,abe,,west2630,asen,AB:3,,,,,,"stone, rock","rock, stone",initial,,,,,,,,,,sen
83,Day,GMD1995,XXVI,abe,,west2630,askami-,AB:3,,,,,,"always (in the future), forever","always, forever",initial
84,Day,GMD1995,XXVI,abe,,west2630,askan,AB:3,,,,,,"horn, antler","antler, horn",initial
85,Day,GMD1995,XXVI,abe,,west2630,askaskw-,AB:3,,,,,,green,green,initial
86,Day,GMD1995,XXVI,abe,,west2630,asokw,AB:3,,,,,,"cloud, sky","cloud, sky",initial
87,Day,GMD1995,XXVI,abe,,west2630,asow-,AB:3,,,,,,cover,cover,initial
88,Day,GMD1995,XXVI,abe,,west2630,asp-,AB:3,,,,,,of a certain size (also wide open),"open (A), size",initial
89,Day,GMD1995,XXVI,abe,,west2630,aspon-,AB:3,,,,,,"stingy, parsimonious ","parsimonious, stingy",initial
90,Day,GMD1995,XXVI,abe,,west2630,assi-,AB:3,,,,,,influence by teaching or example,influence (V),initial
91,Day,GMD1995,XXVI,abe,,west2630,asta-,AB:3,,,,,,"prick, stab","prick, stab",initial
92,Day,GMD1995,XXVI,abe,,west2630,atal-,AB:3,,,,,,"there (in general, customarily); there where (in general, customarily); when, while","there, when, where, while",initial,,,,,,,,,,,,,,,,,,,,,,,,,cf. adal- 
93,Day,GMD1995,XXVI,abe,,west2630,atass-,AB:3,,,,,,"each time, every time, whenever","each, every, time, whenever",initial,,,,,,,,,,,,,,,,,,,,,,,,,cf. azi
94,Day,GMD1995,XXVI,abe,,west2630,atema,AB:3,,,,,,weave snowshoe,weave (snowshoe),initial
95,Day,GMD1995,XXVII,abe,,west2630,atôbi,AB:3,,,,,,a bow (weapon),bow (N),initial,,,,,,,,,,tôbi
96,Day,GMD1995,XXVII,abe,,west2630,ats-,AB:3,,,,,,"dye, color","color, dye",initial
97,Day,GMD1995,XXVII,abe,,west2630,atsakh-,AB:3,,,,,,"lock, close with a piece of metal or a key","close, lock",initial
98,Day,GMD1995,XXVII,abe,,west2630,awa-,AB:3,,,,,,"slightly, barely","barely, slightly",initial
99,Day,GMD1995,XXVII,abe,,west2630,awad,AB:3,,,,,,carry on back,carry (on back),initial,,,,,,,,,,awaj-,,,,,,,,,,,,,,,cf. awal- 
100,Day,GMD1995,XXVII,abe,,west2630,awakôd-,AB:3,,,,,,"in small amount or degree, hardly, barely, of little importance","barely, hardly, small (amount, degree), unimportant, QUANTITY",initial,,,,,,,,,,awakôj-
101,Day,GMD1995,XXVII,abe,,west2630,awal-,AB:3,,,,,,carry something on back,carry (on back),initial,,,,,,,,,,,,,,,,,,,,,,,,,cf. awad-
