Component ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Public Comments,Private Comments,Speaker,1st check done,2nd check done
88,Day,GMD1995,XXVI,abe,,west2630,asp-,AB:3,,,,,,of a certain size (also wide open),initial
89,Day,GMD1995,XXVI,abe,,west2630,aspon-,AB:3,,,,,,"stingy, parsimonious ",initial
90,Day,GMD1995,XXVI,abe,,west2630,assi-,AB:3,,,,,,influence by teaching or example,initial
91,Day,GMD1995,XXVI,abe,,west2630,asta-,AB:3,,,,,,"prick, stab",initial
92,Day,GMD1995,XXVI,abe,,west2630,atal-,AB:3,,,,,,"there (in general, customarily); there where (in general, customarily); when, while ",initial,,,,,,,,,,,,,,,,,,,,,,,,,cf. adal- 
93,Day,GMD1995,XXVI,abe,,west2630,atass-,AB:3,,,,,,"each time, every time, whenever",initial,,,,,,,,,,,,,,,,,,,,,,,,,cf. azi
94,Day,GMD1995,XXVI,abe,,west2630,atema,AB:3,,,,,,weave snowshoe,initial
95,Day,GMD1995,XXVII,abe,,west2630,atôbi,AB:3,,,,,,a bow (weapon),initial,,,,,,,,,,tôbi
96,Day,GMD1995,XXVII,abe,,west2630,ats-,AB:3,,,,,,"dye, color",initial
97,Day,GMD1995,XXVII,abe,,west2630,atsakh-,AB:3,,,,,,"lock, close with a piece of metal or a key",initial
98,Day,GMD1995,XXVII,abe,,west2630,awa-,AB:3,,,,,,"slightly, barely",initial
99,Day,GMD1995,XXVII,abe,,west2630,awad,AB:3,,,,,,carry on back,initial,,,,,,,,,,awaj-,,,,,,,,,,,,,,,cf. awal- 
100,Day,GMD1995,XXVII,abe,,west2630,awakôd-,AB:3,,,,,,"in small amount or degree, hardly, barely, of little importance",initial,,,,,,,,,, awakôj-
101,Day,GMD1995,XXVII,abe,,west2630,awal-,AB:3,,,,,,carry something on back,initial,,,,,,,,,,,,,,,,,,,,,,,,,cf. awad-
102,Day,GMD1995,XXVII,abe,,west2630,awam-,AB:3,,,,,,"dress feet, put on shoes",initial
103,Day,GMD1995,XXVII,abe,,west2630,awan,AB:3,,,,,,"air, atmosphere",initial
104,Day,GMD1995,XXVII,abe,,west2630,awas-,AB:3,,,,,,"over, beyond, on other side",initial
105,Day,GMD1995,XXVII,abe,,west2630,awaz-,AB:3,,,,,,"warm, heat",initial
106,Day,GMD1995,XXVII,abe,,west2630,awdi-,AB:3,,,,,,NG,initial,,,,,,,,,,,,,,,,,,,,,,,,,see aodi-
107,Day,GMD1995,XXVII,abe,,west2630,awes-,AB:3,,,,,,change position,initial,,,,,,,,,,,,,,,,,,,,,,,,,"see aos-, aws- "
108,Day,GMD1995,XXVII,abe,,west2630,awib,AB:3,,,,,,pith,initial
109,Day,GMD1995,XXVII,abe,,west2630,awib-,AB:3,,,,,,"calm, peaceful",initial
110,Day,GMD1995,XXVII,abe,,west2630,awig-,AB:3,,,,,,"mark, draw, write",initial
111,Day,GMD1995,XXVII,abe,,west2630,aws-,AB:3,,,,,,NG,initial,,,,,,,,,,,,,,,,,,,,,,,,,see awes- and aos- 
112,Day,GMD1995,XXVII,abe,,west2630,ayhim-,AB:3,,,,,,own,initial,,,,,,,,,,ahim-
113,Day,GMD1995,XXVII,abe,,west2630,ayhim,AB:3,,,,,,cloth,initial,,,,,,,,,,ahim
114,Day,GMD1995,XXVII,abe,,west2630,aza-,AB:3,,,,,,"returning, reversing, moving backwards",initial,,,,,,,,,,,,,,,,,,,,,,,,,"see azawa-, wazwa-"
115,Day,GMD1995,XXVII,abe,,west2630,azawa-,AB:3,,,,,,"reversing, returning, moving backwards",initial,,,,,,,,,,,,,,,,,,,,,,,,,"cf. wazwa-, aza-"
116,Day,GMD1995,XXVII,abe,,west2630,azawaskw-,AB:3,,,,,,"square or cube, a surface or solid with square corners",initial
117,Day,GMD1995,XXVII,abe,,west2630,azesko,AB:3,,,,,,mud,initial
118,Day,GMD1995,XXVII,abe,,west2630,azi-,AB:3,,,,,,dip,initial
119,Day,GMD1995,XXVIII,abe,,west2630,azi,AB:3,,,,,,each,initial,,,,,,,,,,,,,,,,,,,,,,,,,cf. atass-
120,Day,GMD1995,XXVIII,abe,,west2630,azig-,AB:3,,,,,,"thin, sparse, open",initial
121,Day,GMD1995,XXVIII,abe,,west2630,azik-,AB:3,,,,,,"enclose, wrap",initial
122,Day,GMD1995,XXVIII,abe,,west2630,azin-,AB:3,,,,,,"enclose, shut in",initial
123,Day,GMD1995,XXVIII,abe,,west2630,azow-,AB:3,,,,,,"change, exchange, trade",initial
124,Day,GMD1995,XXVIII,abe,,west2630,ba-,AB:3,,,,,,approach,initial
125,Day,GMD1995,XXVIII,abe,,west2630,baakw-,AB:3,,,,,,NG,initial,,,,,,,,,,,,,,,,,,,,,,,,,see bahakw- 
126,Day,GMD1995,XXVIII,abe,,west2630,baam-,AB:3,,,,,,NG,initial,,,,,,,,,,,,,,,,,,,,,,,,,see baham-
127,Day,GMD1995,XXVIII,abe,,west2630,babad-,AB:3,,,,,,very like (more like than baki or dahôlawi),initial,,,,,,,,,,also babaj- 
128,Day,GMD1995,XXVIII,abe,,west2630,babaj-,AB:3,,,,,,very like  ,initial,,,,,,,,,,,,,,,,,,,,,,,,,see babad-
129,Day,GMD1995,XXVIII,abe,,west2630,babas-,AB:3,,,,,,half,initial
130,Day,GMD1995,XXVIII,abe,,west2630,babôm-,AB:3,,,,,,"around (in space and in general), about, approximately",initial
131,Day,GMD1995,XXVIII,abe,,west2630,bag-,AB:3,,,,,,"strike, hit, smash",initial
132,Day,GMD1995,XXVIII,abe,,west2630,bagad-,AB:3,,,,,,"returning, coming back",initial
133,Day,GMD1995,XXVIII,abe,,west2630,bagi-,AB:3,,,,,,"leave, abandon",initial
134,Day,GMD1995,XXVIII,abe,,west2630,bagiha-,AB:3,,,,,,"sprinkle, baptize, bless as with holy water",initial
135,Day,GMD1995,XXVIII,abe,,west2630,bahakw-,AB:3,,,,,,"anew, afresh, newly",initial,,,,,,,,,,usually baakw-
136,Day,GMD1995,XXVIII,abe,,west2630,baham-,AB:3,,,,,,more (sign of the comparative degree),initial,,,,,,,,,,usually baam-
137,Day,GMD1995,XXVIII,abe,,west2630,baiy-,AB:3,,,,,,"come, arrive",initial
138,Day,GMD1995,XXVIII,abe,,west2630,bak-,AB:3,,,,,,clean,initial
139,Day,GMD1995,XXVIII,abe,,west2630,baki,AB:3,,,,,,"like, similar",initial
140,Day,GMD1995,XXVIII,abe,,west2630,bakal-,AB:3,,,,,,"certain, sure",initial
141,Day,GMD1995,XXVIII,abe,,west2630,bakwa,AB:3,,,,,,"arrow shaft, blunt arrow",initial
142,Day,GMD1995,XXVIII,abe,,west2630,bakwsa-,AB:3,,,,,,dry,initial
143,Day,GMD1995,XXIX,abe,,west2630,bal-,AB:3,,,,,,"wrong, erroneous",initial
144,Day,GMD1995,XXIX,abe,,west2630,balôb,AB:3,,,,,,"despair, be discouraged",initial
145,Day,GMD1995,XXIX,abe,,west2630,bam-,AB:3,,,,,,"where, when",initial
146,Day,GMD1995,XXIX,abe,,west2630,"bao-, baw-",AB:3,,,,,,"exert personal power by wishing, wish with power",initial
147,Day,GMD1995,XXIX,abe,,west2630,bapi,AB:3,,,,,,play,initial
148,Day,GMD1995,XXIX,abe,,west2630,bas-,AB:3,,,,,,"swell, puff up",initial
149,Day,GMD1995,XXIX,abe,,west2630,bask-,AB:3,,,,,,"uncovererd, open (of a field or water), bare (of a body)",initial,,,,,,,,,,,,,,,,,,,,,,,,,now archaic and mostly replaced by mamasag- 
150,Day,GMD1995,XXIX,abe,,west2630,baskh-,AB:3,,,,,,"burst, explode; shoot",initial
151,Day,GMD1995,XXIX,abe,,west2630,basod-,AB:3,,,,,,near in space or time,initial,,,,,,,,,,,,,,,,,,,,,,,,,see kwahl-
152,Day,GMD1995,XXIX,abe,,west2630,basoj-,AB:3,,,,,,near in space or time,initial
153,Day,GMD1995,XXIX,abe,,west2630,batkwa-,AB:3,,,,,,facing someone,initial
154,Day,GMD1995,XXIX,abe,,west2630,"baw-, bao-",AB:3,,,,,,"exert personal power by wishing, wish with power",initial
155,Day,GMD1995,XXIX,abe,,west2630,baw-,AB:3,,,,,,"shake, tremble",initial
156,Day,GMD1995,XXIX,abe,,west2630,baziz-,AB:3,,,,,,pimply,initial,,,,,,,,,,,,,,,,,,,,,,,,,cf. lômpski-
157,Day,GMD1995,XXIX,abe,,west2630,bedeg-,AB:3,,,,,,"return, come back",initial
158,Day,GMD1995,XXIX,abe,,west2630,begeda-,AB:3,,,,,,smoke,initial
159,Day,GMD1995,XXIX,abe,,west2630,begig-,AB:3,,,,,,"brown by heat, toast, roast",initial
160,Day,GMD1995,XXIX,abe,,west2630,begiki-,AB:3,,,,,,brittle,initial
161,Day,GMD1995,XXIX,abe,,west2630,bego,AB:3,,,,,,"gum, pitch",initial
162,Day,GMD1995,XXIX,abe,,west2630,begw-,AB:3,,,,,,"sand, dust, soil",initial
163,Day,GMD1995,XXIX,abe,,west2630,behanem,AB:3,,,,,,woman,initial
164,Day,GMD1995,XXIX,abe,,west2630,bela-,AB:3,,,,,,"wait, delay, take one's time",initial
165,Day,GMD1995,XXIX,abe,,west2630,belag-,AB:3,,,,,,"peel, remove rind, scales, skin, or bark",initial
166,Day,GMD1995,XXIX,abe,,west2630,belaz,AB:3,,,,,,passenger pigeon ,initial
167,Day,GMD1995,XXX,abe,,west2630,bem-,AB:3,,,,,,"moving or extending in space or time, variably translated by along, by, pass, here and there, etc. ",initial,,,,,,,,,,bm- 
168,Day,GMD1995,XXX,abe,,west2630,bema-,AB:3,,,,,,"on the side, to the side",initial
169,Day,GMD1995,XXX,abe,,west2630,bemi,AB:3,,,,,,"oil, grease",initial
170,Day,GMD1995,XXX,abe,,west2630,bemiji-,AB:3,,,,,,"on the side, to the side",initial
171,Day,GMD1995,XXX,abe,,west2630,bemowa,AB:3,,,,,,a boil,initial,,,,,,,,,,bmowa
172,Day,GMD1995,XXX,abe,,west2630,ben-,AB:3,,,,,,"downward, down",initial,,,,,,,,,,,,,,,,,,,,,,,,,see bôn-
173,Day,GMD1995,XXX,abe,,west2630,besan-,AB:3,,,,,,full,initial,,,,,,,,,,,,,,,,,,,,,,,,,in most words contracted to bsan-
174,Day,GMD1995,XXX,abe,,west2630,besi-,AB:3,,,,,,"split, divide, open up",initial
175,Day,GMD1995,XXX,abe,,west2630,beska-,AB:3,,,,,,"aside, to one side, branching off",initial
176,Day,GMD1995,XXX,abe,,west2630,besk,AB:3,,,,,,night hawk (onomatopoeic root for bird's call),initial
177,Day,GMD1995,XXX,abe,,west2630,-beskwan,AB:3,,,,,,the back of the body,initial
178,Day,GMD1995,XXX,abe,,west2630,beskwel-,AB:3,,,,,,"ignite, catch fire",initial,,,,,,,,,,bskwel-
179,Day,GMD1995,XXX,abe,,west2630,beza,AB:3,,,,,,gunpowder,initial
189,Day,GMD1995,XXX,abe,,west2630,bezeg-,AB:3,,,,,,dark,initial
181,Day,GMD1995,XXX,abe,,west2630,beziko,AB:3,,,,,,bison,initial
182,Day,GMD1995,XXX,abe,,west2630,bezo,AB:3,,,,,,"wild cat (bobcat, lynx)",initial
183,Day,GMD1995,XXX,abe,,west2630,bia-,AB:3,,,,,,"mealy, powderly, crumbly",initial
184,Day,GMD1995,XXX,abe,,west2630,bid-,AB:3,,,,,,"enter, go into",initial
185,Day,GMD1995,XXX,abe,,west2630,bidem-,AB:3,,,,,,shoot with bow or sling,initial
186,Day,GMD1995,XXX,abe,,west2630,bid-,AB:3,,,,,,"unintentional, accidental, by mistake",initial
187,Day,GMD1995,XXX,abe,,west2630,bigid-,AB:3,,,,,,"puff, spurt",initial
188,Day,GMD1995,XXX,abe,,west2630,bigwa-,AB:3,,,,,,"hollow, hollow sounding",initial
189,Day,GMD1995,XXX,abe,,west2630,bigwed-,AB:3,,,,,,open,initial,,,,,,,,,,bkwed-
190,Day,GMD1995,XXX,abe,,west2630,bika-,AB:3,,,,,,"fold, double ",initial,,,,,,,,,,bka- 
191,Day,GMD1995,XXXI,abe,,west2630,bikag-,AB:3,,,,,,"cross, make a crossing",initial
192,Day,GMD1995,XXXI,abe,,west2630,bikôg-,AB:3,,,,,,"bent, crooked",initial,,,,,,,,,,bkôg-
193,Day,GMD1995,XXXI,abe,,west2630,bil-,AB:3,,,,,,"new, strange, different, foreign",initial
194,Day,GMD1995,XXXI,abe,,west2630,bildowi-,AB:3,,,,,,"new, strange ",initial
195,Day,GMD1995,XXXI,abe,,west2630,bilow-,AB:3,,,,,,"different, strange",initial
196,Day,GMD1995,XXXI,abe,,west2630,bils-,AB:3,,,,,,totally numb as when anesthetized ,initial
197,Day,GMD1995,XXXI,abe,,west2630,bim-,AB:3,,,,,,"twisting, turning on a longitudinal axis",initial
198,Day,GMD1995,XXXI,abe,,west2630,bita,AB:3,,,,,,"froth, foam",initial
199,Day,GMD1995,XXXI,abe,,west2630,bitaw-,AB:3,,,,,,"having something between two or more layers horizontally or vertically; double, doubled, between",initial
200,Day,GMD1995,XXXI,abe,,west2630,bith-,AB:3,,,,,,"catch, get, snatch up",initial
201,Day,GMD1995,XXXI,abe,,west2630,bitta,AB:3,,,,,,"very, much",initial
202,Day,GMD1995,XXXI,abe,,west2630,biw-,AB:3,,,,,,"small, fine, little",initial
203,Day,GMD1995,XXXI,abe,,west2630,bizag-,AB:3,,,,,,bushy,initial
204,Day,GMD1995,XXXI,abe,,west2630,bizew,AB:3,,,,,,automatic,initial
205,Day,GMD1995,XXXI,abe,,west2630,bizo-,AB:3,,,,,,"useless, unimportant, good for nothing",initial
206,Day,GMD1995,XXXI,abe,,west2630,bka-,AB:3,,,,,,"fold, double ",initial,,,,,,,,,,,,,,,,,,,,,,,,,see bika- 
207,Day,GMD1995,XXXI,abe,,west2630,bkôg- ,AB:3,,,,,,"bent, crooked",initial,,,,,,,,,,,,,,,,,,,,,,,,,see bikôg-
208,Day,GMD1995,XXXI,abe,,west2630,bkwed-,AB:3,,,,,,open,initial,,,,,,,,,,,,,,,,,,,,,,,,,see bigwed-
209,Day,GMD1995,XXXI,abe,,west2630,bm-,AB:3,,,,,,moving or extending in space or time  ,initial,,,,,,,,,,,,,,,,,,,,,,,,,see bem-
210,Day,GMD1995,XXXI,abe,,west2630,bmowa-,AB:3,,,,,,a boil,initial,,,,,,,,,,,,,,,,,,,,,,,,,see bemowa
211,Day,GMD1995,XXXI,abe,,west2630,bo-,AB:3,,,,,,winter,initial
212,Day,GMD1995,XXXI,abe,,west2630,bodawaz-,AB:3,,,,,,"confer, talk over",initial
213,Day,GMD1995,XXXI,abe,,west2630,bogeja- ,AB:3,,,,,,"prick, pierce, sting",initial
214,Day,GMD1995,XXXI,abe,,west2630,bokw-,AB:3,,,,,,short,initial,,,,,,,,,,,,,,,,,,,,,,,,,cf. daakw
215,Day,GMD1995,XXXI,abe,,west2630,bona,AB:3,,,,,,"place, put, set",initial
216,Day,GMD1995,XXXII,abe,,west2630,boni-,AB:3,,,,,,"leave, abandon, free, put away",initial
217,Day,GMD1995,XXXII,abe,,west2630,bonsa,AB:3,,,,,,"tend fire, make fire",initial
218,Day,GMD1995,XXXII,abe,,west2630,bosk-,AB:3,,,,,,bury,initial
219,Day,GMD1995,XXXII,abe,,west2630,boskw-,AB:3,,,,,,break or sever transversely,initial
220,Day,GMD1995,XXXII,abe,,west2630,bozi,AB:3,,,,,,"embark, get into a water craft",initial
221,Day,GMD1995,XXXII,abe,,west2630,bôg-,AB:3,,,,,,"bump, strike",initial
222,Day,GMD1995,XXXII,abe,,west2630,bôgw-,AB:3,,,,,,"pure, unmixed, genuine, only",initial
223,Day,GMD1995,XXXII,abe,,west2630,bôj-,AB:3,,,,,,on the left side,initial
224,Day,GMD1995,XXXII,abe,,west2630,bôkw-,AB:3,,,,,,shallow (water),initial
225,Day,GMD1995,XXXII,abe,,west2630,bôn-,AB:3,,,,,,"down, downward (in some words)",initial,,,,,,,,,,,,,,,,,,,,,,,,,see ben-
226,Day,GMD1995,XXXII,abe,,west2630,bôw-,AB:3,,,,,,"happy, joyful",initial
227,Day,GMD1995,XXXII,abe,,west2630,bôzid-,AB:3,,,,,,"over, above, beyond",initial
